STRUCTURE_ID,MolWt,EXACT_MASS,logP,MW,HBD,HBA,TPSA,Flexibility,Rotatable Bonds,MolWt,ExactMolWt,qed,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,TPSA,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
00YRB22-047-013,442.438,442.2,2.227,442.4,2,8,86.63,0.1765,6,442.438,442.1827899,0.752027974,417.238,2.7943,106.9315,0.6,170,0.457636727,-0.37777782,86.63,1.129032258,1.260156147,818.7090067,-2.53,11607498.55,8.541380685,177.1214423,0,0,23.11757206,11.07361877,73.10543586,29.421181,12.87344512,-4.906584098,44.83230626,20.20999965,31,2,8,0,3,3,1,0,1,6,2,11,3,0,2,2,4
00YRB22-047-014,388.346,388.1,1.406,388.3,2,8,96.28,0.2069,6,388.346,388.1358397,0.828817692,369.194,2.3613,88.2465,0.5625,148,0.457636727,-0.495143663,96.28,1.407407407,1.506287497,717.370725,-2.56,1155119.035,7.217404045,152.4922614,11.56737461,5.316788604,17.56066229,11.07361877,58.89593518,23.48529044,12.7848583,-4.912497224,37.49853067,20.29406844,27,2,8,0,2,2,0,1,1,6,2,11,3,0,1,1,3
00YRB22-047-015,375.351,375.2,1.01,375.3,2,8,91.98,0.2143,6,375.351,375.1518242,0.83475447,355.191,1.3689,83.8825,0.666666667,144,0.457636727,-0.349961072,91.98,1.461538462,1.462991191,696.9442434,-2.3,719380.3853,6.78210191,147.1312438,0,4.681802935,11.74279952,18.12129076,56.58264387,17.41892337,12.76358357,-4.898500237,32.47591246,20.40877172,26,2,8,0,2,2,0,1,1,6,2,11,3,0,1,1,3
00YRB22-047-016,389.334,389.1,1.527,389.3,2,9,109.2,0.2069,6,389.334,389.1310887,0.815399033,371.19,1.7563,86.0415,0.6,148,0.457636727,-0.480852853,109.17,1.407407407,1.523647045,736.4077256,-2.63,1140042.632,7.175847189,151.7119094,12.14518285,5.316788604,17.56066229,11.07361877,63.87991371,17.54939987,12.78573119,-4.919210796,31.81114439,25.27804696,27,2,9,0,2,2,0,1,1,7,2,12,3,0,1,1,3
00YRB22-047-017,398.345,398.1,1.597,398.3,2,9,104.4,0.1613,5,398.345,398.1314231,0.805337204,381.209,2.0004,90.4445,0.5,150,0.457636727,-0.349961072,104.35,1.357142857,1.337506184,921.7306132,-2.89,2793665.292,6.617942444,156.320036,0,5.316788604,23.20783951,11.07361877,61.40021735,29.68213401,12.82316762,-4.915783439,37.39619606,25.39275024,28,2,9,0,2,2,0,2,2,7,2,12,2,0,1,1,4
00YRB22-047-018,409.368,409.1,2.652,409.4,2,8,99.94,0.1563,5,409.368,409.1361741,0.794621831,391.224,2.9009,96.9955,0.444444444,154,0.457636727,-0.349961072,99.94,1.24137931,1.358193241,953.9023914,-2.95,4240170.861,7.139179491,162.9150866,5.516700718,9.967957042,28.46358723,11.07361877,56.77011616,35.74850108,12.85246427,-4.916480036,42.65194377,25.27804696,29,2,8,0,2,2,1,1,2,6,2,11,2,0,1,1,4
00YRB22-047-019,397.357,397.1,1.933,397.4,2,8,91.46,0.1613,5,397.357,397.1361741,0.815062599,379.213,2.6054,92.6495,0.470588235,150,0.457636727,-0.349961072,91.46,1.321428571,1.344621172,920.1438794,-2.82,2815796.371,6.656282364,157.1319345,11.46504,9.71748321,23.20783951,11.07361877,56.18683225,35.74850108,12.83215643,-4.909544357,37.39619606,20.29406844,28,2,8,0,2,2,0,2,2,6,2,11,2,0,1,1,4
00YRB22-047-020,398.341,398.1,2.266,398.3,2,8,100.2,0.1613,5,398.341,398.1201897,0.809823762,381.205,3.0989,91.4665,0.470588235,150,0.457636727,-0.44347859,100.19,1.321428571,1.319619456,920.5084074,-2.82,2740289.355,6.656282364,156.4897679,5.516700718,0,28.52990665,11.07361877,51.78613764,34.16560437,12.81737462,-4.91291261,42.71826319,20.29406844,28,2,8,0,2,2,1,1,2,6,2,11,2,0,1,1,4
00YRB22-047-021,397.357,397.1,1.933,397.4,2,8,91.46,0.1613,5,397.357,397.1361741,0.815062599,379.213,2.6054,92.6495,0.470588235,150,0.457636727,-0.349961072,91.46,1.321428571,1.337506184,920.1438794,-2.82,2793665.292,6.656282364,157.1319345,11.46504,9.71748321,23.20783951,11.07361877,56.18683225,35.74850108,12.82826966,-4.909866279,37.39619606,20.29406844,28,2,8,0,2,2,0,2,2,6,2,11,2,0,1,1,4
00YRB22-047-022,397.357,397.1,1.933,397.4,2,8,91.46,0.1613,5,397.357,397.1361741,0.815062599,379.213,2.6054,92.6495,0.470588235,150,0.457636727,-0.349961072,91.46,1.321428571,1.344621172,920.1438794,-2.82,2815796.371,6.656282364,157.100388,0,0,22.94688651,11.07361877,56.41623882,35.74850108,12.83242813,-4.909201929,31.61854233,20.40877172,28,2,8,0,2,2,0,2,2,6,2,11,2,0,1,1,4
00YRB22-047-023,398.341,398.1,2.266,398.3,2,8,100.2,0.1613,5,398.341,398.1201897,0.809823762,381.205,3.0989,91.4665,0.470588235,150,0.457636727,-0.441271563,100.19,1.321428571,1.344621172,920.5084074,-2.82,2815796.371,6.656282364,156.4897679,5.516700718,0,28.52990665,11.07361877,51.78613764,34.16560437,12.82647575,-4.916105282,42.71826319,20.29406844,28,2,8,0,2,2,1,1,2,6,2,11,2,0,1,1,4
00YRB22-047-024,408.38,408.1,2.471,408.4,2,7,87.05,0.1563,5,408.38,408.1409251,0.796341404,389.228,3.5059,99.2005,0.421052632,154,0.457636727,-0.349961072,87.05,1.275862069,1.358193241,951.8600591,-2.88,4240170.861,7.178538932,163.6954386,0,4.983978521,28.20263422,11.07361877,51.78613764,41.81486814,12.85810451,-4.90990528,31.61854233,20.29406844,29,2,7,0,2,2,1,1,2,5,2,10,2,0,1,1,4
